date,AirFranceWebScraper,AirFranceAppScraper
2021-05-25 01:52,,
2021-05-25 09:52,84.0,84.0
2021-05-25 17:52,,
2021-05-26 01:52,84.0,84.0
2021-05-26 09:52,84.0,84.0
2021-05-26 17:52,,
2021-05-27 01:52,95.0,95.0
2021-05-27 09:52,95.0,95.0
2021-05-27 17:52,95.0,95.0
2021-05-28 01:52,,
2021-05-28 09:52,84.0,84.0
2021-05-28 17:52,84.0,84.0
2021-05-29 01:52,84.0,84.0
2021-05-29 09:52,84.0,84.0
2021-05-29 17:52,84.0,84.0
2021-05-30 01:52,84.0,84.0
2021-05-30 09:52,84.0,84.0
2021-05-30 17:52,95.0,95.0
2021-05-31 01:52,95.0,95.0
2021-05-31 09:52,95.0,95.0
2021-05-31 17:52,95.0,95.0
2021-06-01 01:52,95.0,95.0
2021-06-01 09:52,95.0,95.0
2021-06-01 17:52,95.0,95.0
2021-06-02 01:52,95.0,95.0
2021-06-02 09:52,,
2021-06-02 17:52,95.0,95.0
2021-06-03 01:52,95.0,95.0
2021-06-03 09:52,95.0,95.0
2021-06-03 17:52,95.0,95.0
2021-06-04 01:52,95.0,95.0
2021-06-04 09:52,95.0,95.0
2021-06-04 17:52,95.0,95.0
2021-06-05 01:22,95.0,95.0
2021-06-05 09:22,95.0,95.0
2021-06-05 17:22,95.0,95.0
2021-06-06 01:22,,
2021-06-06 09:22,,
2021-06-06 17:22,,
2021-06-07 01:22,,
2021-06-07 09:22,,
2021-06-07 17:22,,
2021-06-08 01:22,,
2021-06-08 09:22,,
2021-06-08 17:00,123.0,123.0
2021-06-09 01:00,108.0,108.0
2021-06-09 09:00,123.0,123.0
2021-06-09 17:00,,
2021-06-10 01:00,123.0,123.0
2021-06-10 09:00,123.0,123.0
2021-06-10 17:00,123.0,123.0
2021-06-11 01:00,123.0,123.0
2021-06-11 09:00,123.0,123.0
2021-06-11 17:00,123.0,123.0
2021-06-12 01:00,108.0,108.0
2021-06-12 09:00,108.0,108.0
2021-06-12 17:00,108.0,108.0
2021-06-13 01:00,95.0,95.0
2021-06-13 09:00,95.0,95.0
2021-06-13 17:00,95.0,95.0
2021-06-14 01:00,95.0,95.0
2021-06-14 09:00,95.0,95.0
2021-06-14 17:00,95.0,95.0
2021-06-15 01:00,95.0,95.0
2021-06-15 09:00,95.0,95.0
2021-06-15 17:00,123.0,123.0
2021-06-16 01:00,123.0,123.0
2021-06-16 09:00,123.0,123.0
2021-06-16 17:00,123.0,123.0
2021-06-17 01:00,123.0,123.0
2021-06-17 09:00,123.0,123.0
2021-06-17 17:00,142.0,142.0
2021-06-18 01:00,123.0,123.0
2021-06-18 09:00,123.0,123.0
2021-06-18 17:00,123.0,123.0
2021-06-19 01:00,123.0,123.0
2021-06-19 09:00,123.0,123.0
2021-06-19 17:00,123.0,123.0
2021-06-20 01:00,64.0,64.0
2021-06-20 09:00,64.0,64.0
2021-06-20 17:00,64.0,64.0
2021-06-21 01:00,74.0,74.0
2021-06-21 09:00,74.0,74.0
2021-06-21 17:00,74.0,74.0
2021-06-22 01:00,74.0,74.0
2021-06-22 09:00,74.0,74.0
2021-06-22 17:00,64.0,64.0
2021-06-23 01:00,,64.0
2021-06-23 09:00,,64.0
2021-06-23 17:00,,64.0
2021-06-24 01:00,,64.0
2021-06-24 09:00,,95.0
2021-06-24 17:00,,95.0
2021-06-25 01:00,,95.0
2021-06-25 09:00,,108.0
2021-06-25 17:00,,108.0
2021-06-26 01:00,,74.0
2021-06-26 09:00,,74.0
2021-06-26 17:00,,
2021-06-27 01:00,,74.0
2021-06-27 09:00,,
2021-06-27 17:00,,74.0
2021-06-28 01:00,,108.0
2021-06-28 09:00,,
2021-06-28 17:00,,
2021-06-29 01:00,,
2021-06-29 09:00,,
2021-06-29 17:00,,
2021-06-30 01:00,,
2021-06-30 09:00,,
2021-06-30 17:00,,
2021-07-01 01:00,,
2021-07-01 09:00,,
2021-07-01 17:00,,
2021-07-02 01:00,,
2021-07-02 09:00,,
