date,OpodoWebScraper,OpodoWebScraper-france
2021-05-25 03:22,467.98,486.04
2021-05-25 11:22,468.98,507.14
2021-05-25 19:22,469.98,503.18
2021-05-26 03:22,471.98,506.57
2021-05-26 11:22,471.98,510.53
2021-05-26 19:22,472.98,505.29
2021-05-27 03:22,,
2021-05-27 11:22,,
2021-05-27 19:22,,
2021-05-28 03:22,,
2021-05-28 11:22,,
2021-05-28 19:22,,
2021-05-29 03:22,,
2021-05-29 11:22,,
2021-05-29 19:22,,
2021-05-30 03:22,,
2021-05-30 11:22,,
2021-05-30 19:22,,
2021-05-31 03:22,,
2021-05-31 11:22,,
2021-05-31 19:22,,
2021-06-01 03:22,,
2021-06-01 11:22,,
2021-06-01 19:22,,
2021-06-02 03:22,,
2021-06-02 11:22,,
2021-06-02 19:22,,
2021-06-03 03:22,,
2021-06-03 11:22,,
2021-06-03 19:22,,
2021-06-04 03:22,,
2021-06-04 11:22,,
2021-06-04 19:22,,
2021-06-05 02:52,,
2021-06-05 10:52,,
2021-06-05 18:52,,
2021-06-06 02:52,,
2021-06-06 10:52,,
2021-06-06 18:52,,
2021-06-07 02:52,,
2021-06-07 10:52,,
2021-06-07 18:52,,
2021-06-08 02:52,,
2021-06-08 10:52,,
2021-06-08 18:30,,
2021-06-09 02:30,,
2021-06-09 10:30,,
2021-06-09 18:30,,
2021-06-10 02:30,,
2021-06-10 10:30,,
2021-06-10 18:30,,
2021-06-11 02:30,,
2021-06-11 10:30,,
2021-06-11 18:30,,
2021-06-12 02:30,,
2021-06-12 10:30,,
2021-06-12 18:30,,
2021-06-13 02:30,,
2021-06-13 10:30,,
2021-06-13 18:30,,
2021-06-14 02:30,,
2021-06-14 10:30,,
2021-06-14 18:30,,
2021-06-15 02:30,,
2021-06-15 10:30,,
2021-06-15 18:30,,
2021-06-16 02:30,,
2021-06-16 10:30,,
2021-06-16 18:30,,
2021-06-17 02:30,,
2021-06-17 10:30,,
2021-06-17 18:30,,
2021-06-18 02:30,,
2021-06-18 10:30,,
2021-06-18 18:30,,
2021-06-19 02:30,,
2021-06-19 10:30,,
2021-06-19 18:30,,
2021-06-20 02:30,,
2021-06-20 10:30,,
2021-06-20 18:30,,
2021-06-21 02:30,,
2021-06-21 10:30,,
2021-06-21 18:30,,
2021-06-22 02:30,,
2021-06-22 10:30,,
2021-06-22 18:30,,
2021-06-23 02:30,,
2021-06-23 10:30,,
2021-06-23 18:30,,
2021-06-24 02:30,,
2021-06-24 10:30,,
2021-06-24 18:30,,
2021-06-25 02:30,,
2021-06-25 10:30,,
2021-06-25 18:30,,
2021-06-26 02:30,,
2021-06-26 10:30,,
2021-06-26 18:30,,
2021-06-27 02:30,,
2021-06-27 10:30,,
2021-06-27 18:30,,
2021-06-28 02:30,,
2021-06-28 10:30,,
2021-06-28 18:30,,
2021-06-29 02:30,,
2021-06-29 10:30,,
2021-06-29 18:30,,
2021-06-30 02:30,,
2021-06-30 10:30,,
2021-06-30 18:30,,
2021-07-01 02:30,,
2021-07-01 10:30,,
2021-07-01 18:30,,
2021-07-02 02:30,,
2021-07-02 10:30,,
